Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2018-08-15,1,1.1322189641568674e-26,0.999999999998181,5.100060300104927e-43,1.2330912552390299e-12
2018-08-16,1,2.834817865057436e-30,0.9999999999872671,1.4832972964641223e-44,1.323449967737287e-11
2018-08-17,1,3.86730260768385e-30,0.999999999998181,1.1396955493378964e-43,1.0059233826195935e-12
2018-08-20,1,1.731651259697825e-39,1.0,9.719735173881393e-49,2.954903587650286e-14
2018-08-21,1,2.0920956504730722e-40,1.0,9.621546838756037e-47,7.057610565543061e-14
2018-08-22,1,2.64003246096508e-43,0.999999999990905,3.829061165586814e-46,9.956194134065184e-12
2018-08-23,1,1.3716502056428581e-39,0.9999999999545253,6.167677213978201e-46,4.529106523469131e-11
2018-08-24,1,2.2323294823552057e-40,0.9999999998908606,1.2071396717445595e-46,1.0922892239952062e-10
2018-08-27,1,2.2069607261611386e-39,0.9999999996289262,7.138770018477552e-48,3.704469602658473e-10
2018-08-28,1,3.6165649939106134e-38,0.9999999984192982,1.5179835810457926e-45,1.5801002534879024e-09
2018-08-29,1,1.2797188979854692e-37,0.999999998291969,3.918538219937969e-44,1.7078563762833319e-09
2018-08-30,1,6.756223042372321e-34,0.9999999961401045,4.38117312560074e-42,3.859492579612232e-09
2018-08-31,1,2.8005457635734983e-28,0.999999943964214,2.755342526464643e-39,5.6036624507150985e-08
2018-09-04,1,1.2884295890845715e-26,0.9999999713199945,3.690205310704037e-39,2.8679983575107962e-08
2018-09-05,1,2.2430138933268953e-25,0.999999947209291,5.172766663826281e-38,5.2790417457716874e-08
2018-09-06,1,3.632961060803771e-24,0.9999999646206568,4.6066014591624226e-38,3.538007061569286e-08
2018-09-07,1,6.738427138301777e-24,0.9999999883129932,1.8561944676356385e-38,1.1686622617741533e-08
2018-09-10,1,2.4223864430780845e-25,0.9999999905412551,5.483533502062293e-40,9.459203292631133e-09
2018-09-11,1,1.1208080558124224e-26,0.9999999897427188,4.873238928865521e-41,1.0257033967909993e-08
2018-09-12,1,4.274247010857359e-27,0.9999999974461389,9.548632081650473e-42,2.5539549022708343e-09
2018-09-13,1,5.483326234819481e-29,0.9999999262308875,4.294913650612806e-43,7.376953129610072e-08
2018-09-14,1,5.159190120767425e-28,0.9999998694074833,2.787803584440408e-47,1.3059296020581844e-07
2018-09-17,1,4.0265119952339666e-26,0.9999999968331394,9.12448820845463e-49,3.1664741178067553e-09
2018-09-18,1,2.4941221918969065e-28,0.9999999945684976,2.2991088231186982e-43,5.432351090798785e-09
2018-09-19,1,5.1335096364389236e-33,0.9999998977800767,1.044936531954885e-33,1.0221913718540034e-07
2018-09-20,1,4.501229239544492e-34,0.9996224804885635,1.8832451846730864e-31,0.0003775195110307677
2018-09-21,3,4.475838389449166e-36,0.010739256786339238,1.6709648542050453e-29,0.9892607432143133
2018-09-24,3,1.7305186057870636e-32,5.277632309215166e-05,1.9501888655115142e-33,0.9999472236771098
2018-09-25,3,1.631726694633537e-31,9.821437004549401e-08,3.625322316739597e-34,0.9999999017854909
2018-09-26,3,3.4097494740326916e-27,2.5722493841230513e-07,1.2358971984250943e-38,0.9999997427749225
2018-09-27,3,2.1651380169403544e-24,0.000540092743603781,1.0675648395165124e-40,0.9994599072557594
2018-09-28,1,7.976783810692847e-24,0.9982112543540714,4.0355090775057584e-41,0.0017887456463761189
2018-10-01,1,6.610148842383076e-27,0.9999941910942204,2.4585805453452852e-36,5.808906465729627e-06
2018-10-02,1,2.46082154114279e-33,0.9996559856683689,4.978069802602114e-35,0.00034401433099887687
2018-10-03,3,5.019981365628694e-37,0.0017013326096982084,1.4653970557054525e-31,0.9982986673906716
2018-10-04,3,5.3256896327234264e-24,1.3461872072296343e-05,4.3829076366358247e-26,0.999986538128386
2018-10-05,3,1.5719238786703366e-22,1.7052228109775476e-07,3.1126183054056975e-25,0.9999998294770339
2018-10-08,3,4.817056340686276e-22,1.594630931388894e-07,5.2860634450227066e-27,0.9999998405364877
2018-10-09,3,1.6022168285761888e-22,3.794260590750016e-09,7.240173285114203e-27,0.9999999962055881
2018-10-10,3,1.7435085365711995e-19,5.200954912831881e-09,1.4071316092509052e-27,0.9999999947995093
2018-10-11,3,1.394685900728496e-20,1.1299794939797601e-10,9.291080738309353e-31,0.9999999998872227
